artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
Barry Gray,Martial music,1908,1984,76,1908-07-18,1908-07-18,18,1984-04-26,26,1984-04-26
Barry Rogers,Soul music,1935,1991,56,1935-05-22,1935-05-22,1935-05-22,1991-04-18,1991-04-18,1991-04-18
Barry White,Rhythm & blues,1944,2003,59,1944-09-12,1944-09-12,,2003-07-04,,2003-07-04
Barış Akarsu,Anadolu rock,1979,2007,28,1979-06-29,1979-06-29,1979-06-29,2007-07-04,2007-07-04,2007-07-04
Barış Manço,Anatolian rock,1943,1999,56,1943-01-02,1943-01-02,1943-01-02,1999-02-01,1999-01-31,1999-02-01
Bashful Brother Oswald,Old-time music,1911,2002,91,1911-12-26,1911-12-26,1911-12-26,2002-10-17,2002-10-17,2002-10-17
Basil Harwood,Organ music,1859,1949,90,1859-04-11,1859-04-11,11,1949-04-03,3,1949-04-03
Bas Sheva,Exotica,1925,1960,35,1925-07-25,1925-07-25,1925-07-25,1960-02-11,1960-02-11,1960-02-11
Baylus Benjamin McKinney,Gospel music,1886,1952,66,1886-07-22,,1886-07-22,1952-09-07,1952-09-07,
Beau Dollar,Rock 'n' roll,1941,2011,70,1941-04-21,1941-04-21,1941-04-21,2011-02-22,2011-02-22,2011-02-22
Beau Jocque,Zydeco,1952,1999,47,1952-11-01,1952-11-01,1952-11-01,1999-09-10,1999-09-10,1999-09-10
Bebu Silvetti,Latin pop,1944,2003,59,1944-03-27,1944-03-27,1944,2003-07-05,2003,2003-07-05
Begum Akhtar,Thumri,1914,1974,60,1914-10-07,1914-10-07,1914-10-07,1974-10-30,1974-10-30,1974-10-30
Belle Baker,Jazz,1893,1957,64,1893-12-25,1893-12-25,1893,1957-04-29,1957-04-29,1957-04-29
Ben Gautrey,Alternative rock,1980,2011,31,,,1980-11-21,2011-08-29,2011-08-29,
Benjamin Burnley,Alternative rock,1978,2010,32,1978-03-10,1978-03-10,1979,,2010,
Benjamin Carl Unseld,Gospel Music,1843,1923,80,1843-10-18,1843-10-18,1843-10-18,1923-11-19,1923,1923-11-19
Benjamin Orr,Pop rock,1947,2000,53,1947-09-08,1947-09-08,1947-09-08,2000-10-04,2000-10-04,2000-10-03
Benjamin Smoke,Punk rock,1960,1999,39,1960-01-28,1960-01-28,28,1999-01-29,29,1999-01-29
Ben Keith,Rock music,1937,2010,73,1937-03-06,1937-03-06,1937-03-06,2010-07-26,2010-07-26,2010-07-26
Bennett Friedman,Post-bop,1535,1608,73,,,1536,1608-01-28,28,
Bennie Moten,Jazz,1894,1935,41,,,1894-11-13,,1935-04-02,
Benny Bailey,Bebop,1925,2005,80,1925-08-13,1925-08-13,1925-08-13,2005-04-14,2005-04-18,2005-04-14
Benny Benjamin,Jazz,1925,1969,44,1925-07-25,1925-07-25,1925-07-25,1969-04-20,1969-04-20,1969-04-20
Benny Carter,Jazz,1907,2003,96,1907-08-08,"Harlem,_New_York",1907-08-08,2003-07-12,2003-07-12,2003-07-12
Benny Goodman,Swing music,1909,1986,77,1909-05-30,1909-05-30,1909-05-30,1986-06-13,1986-06-13,1987-06-13
Benny Moré,Mambo (music),1919,1963,44,1919-08-24,1919-08-24,1919-08-24,1963-02-19,1963-02-19,1963-02-19
Bent Jædig,Jazz,1935,2004,69,1935-09-28,,28,2004-06-09,9,
Ben Webster,Jazz,1909,1973,64,1909-03-27,1909-03-27,1909-03-27,1973-09-20,1973-09-20,1973-09-20
Benyamin Sönmez,Classical music,1983,2011,28,1983-01-16,1983-01-16,1983-01-16,2011-12-02,2011-12-02,2011-11-30
Bernard Addison,Jazz,1905,1990,85,1905-04-15,1905-04-15,1905-04-15,1990-12-18,1990-12-18,1990-12-18
Bernard Anderson,Hard bop,1919,1997,78,,,1919,,1997,
Bernard Odum,R&B,1932,2004,72,,,1932,2004-08-17,2004-08-17,2004-08-17
Bernard Seigal,Rockabilly,1957,2006,49,1957-12-30,,1957-12-30,2006-04-01,2006-04-02,2006-04-01
Bernie Cummins,Jazz,1900,1986,86,1900-03-14,1900-03-14,1900-03-14,1986-09-12,1986-09-12,1986-09-12
Berry Oakley,Rock music,1948,1972,24,1948-04-04,1948-04-04,1948-04-04,1972-11-11,1972-11-11,1972-11-11
Bert Berns,Soul music,1929,1967,38,1929-11-08,1929-11-08,8,1967-12-30,30,1967-12-30
Bert Firman,Big band,1906,1999,93,1906-02-03,1906-02-03,3,1999-04-09,1999-04-09,1999-04-09
Bertha Chippie Hill,Vaudeville,1905,1950,45,1905-03-15,1905-03-15,1905-03-15,1950-05-07,1950-05-07,
Bert Jansch,Folk rock,1943,2011,68,1943-11-03,1943-11-03,3,2011-10-05,5,"Hampstead, London, England, UK"
Bert Sommer,Baroque pop,1949,1990,41,1949-02-07,1949-02-07,1949-02-07,1990-07-23,1990-07-23,1990-07-23
Bert Weedon,Blues,1920,2012,92,1920-05-10,1920-05-10,10,2012-04-20,20,2012-04-20
Beryl Booker,Swing music,1922,1978,56,1922-06-07,1922-06-07,1922-06-07,1978-09-30,1978-09-30,
Bessie Abott,Opera,1878,1919,41,,1878,1878,1919-02-09,1919-02-09,1919-02-09
Bessie Brown,Jazz,1890,1955,65,,1890,1895,,1955,1955
Bessie Smith,Blues,1894,1937,43,1894-04-15,1894-04-15,1894-04-15,1937-09-26,1937-09-26,1937-09-26
Betty Carter,Jazz,1929,1998,69,1929-05-16,1929-05-16,1929-05-16,1998-09-26,1998-09-26,1998-09-26
Betty Curtis,Pop music,1936,2006,70,1936-03-21,1936-03-21,1936-03-21,2006-06-15,2006-06-15,2006-06-15
Betty Everett,Country music,1939,2001,62,1939-11-23,1939-11-23,1939-11-23,2001-08-19,2001-08-19,2001-08-19
Betty Jack Davis,Pop music,1932,1953,21,1932-03-04,1932-03-04,1932,1953-08-02,1953,1953-08-02
Betty Mars,Chanson,1944,1989,45,1944-07-30,1944-07-30,1944-07-30,1989-02-20,1989-02-20,1989-02-20
Betty McGlown,Pop music,1941,2008,67,1941-06-30,1943,1941-06-30,2008-01-12,2008-01-12,2008-01-12
Beverley O'Sullivan,Pop music,1981,2009,28,1981-01-16,1981-01-16,16,2009-11-02,2,2009-11-02
Bhaskar Chandavarkar,Hindustani classical music,1936,2009,73,1936-03-16,1936-03-16,16,2009-07-26,26,
Bheki Mseleku,Jazz,1955,2008,53,1955-03-03,,1955-03-03,2008-09-09,2008-09-09,
Bhikari Bal,Bhajans,1929,2010,81,1929-05-25,1929-05-25,1929-05-25,2010-11-02,2010-11-03,2
Bhimsen Joshi,Hindustani classical music,1922,2011,89,1922-02-04,1922-02-04,1922,2011-01-24,24,2011-01-24
Bhurji Khan,Bhajans,1890,1950,60,,,1890,,1950,
Bidaram Krishnappa,Carnatic music,1866,1931,65,,,1866,,1931,
Big Bill Broonzy,Protest song,1898,1958,60,1898-06-26,1903-06-26,1903-06-26,1958-08-14,1958-08-14,1958-08-14
Big Hawk,Screwed & Chopped,1969,2006,37,1969-07-24,,1969-07-24,2006-05-01,2006-05-01,
Big Jack Johnson,Electric blues,1940,2011,71,1940-07-30,1940-07-30,1940-07-30,2011-03-14,2011-03-14,2011-03-14
Big Joe Turner,Swing music,1911,1985,74,1911-05-18,1911-05-18,1911-05-18,1985-11-24,1985-11-24,1985-11-24
Big Joe Williams,Delta blues,1903,1982,79,1903-10-16,1903-10-16,1903-10-16,1982-12-17,1982-12-17,1982-12-17
Big John Wrencher,Blues,1923,1977,54,1923-02-12,1923-02-12,1923-02-12,1977-07-15,1977-07-15,1977-07-15
Big K.R.I.T.,Hip hop music,1986,2012,26,1986-08-26,1986-08-26,1986-08-26,2012-09-02,2012-09-02,
Big L,Hip hop music,1974,1999,25,1974-05-30,1974-05-30,1974-05-30,1999-02-15,1999-02-15,1999-02-15
Big Mama Thornton,Rhythm and blues,1926,1984,58,1926-12-11,1926-12-11,1926-12-11,1984-07-25,1984-07-25,"Los Angeles, California, United States"
Big Maybelle,Gospel music,1924,1972,48,1924-05-01,1924-05-01,1924-05-01,1972-01-23,1972-01-23,1972-01-23
Big Mello,Hip hop music,1968,2002,34,1968-08-07,1968-08-07,1968-08-07,2002-06-15,2002-06-15,2002-06-15
Big Moe,Soul music,1974,2007,33,1974-08-20,1974-08-20,1974-08-20,2007-10-14,2007-10-14,2007-10-14
Big Pun,Mafioso rap,1971,2000,29,1971-11-10,1971-11-10,1971-11-10,2000-02-07,2000-02-07,2000-02-07
Big Walter Horton,Blues,1917,1981,64,1917-04-06,1917-04-06,1917-04-06,1981-12-08,1981-12-08,1981-12-08
Big Walter Price,Texas blues,1914,2012,98,1914-08-02,1914-08-02,2,2012-03-07,7,2012-03-07
Bilintx,Bertsolaritza,1831,1876,45,,1831,1831,1876-07-21,21,1876-07-21
Bill Barth,Rock music,1942,2000,58,1942-12-13,1942-12-13,1942-12-13,2000-07-14,2000-07-14,
Bill Black,Rock and roll,1926,1965,39,1926-09-17,1926-09-17,1926-09-17,1965-10-21,1965-10-21,1965-10-21
Bill Chase,Big band,1934,1974,40,1934-10-20,1934-10-20,1934-10-20,1974-08-09,1974-08-09,1974-08-09
Bill Chinnock,Rock music,1947,2007,60,1947-11-12,1947-11-12,1947-11-12,,2007-03-07,2007-03-07
Bill Davison,Jazz,1906,1989,83,1906-01-05,1906-01-05,1906-01-05,1989-11-14,1989-11-14,1989-11-14
Bill Dixon,Jazz,1925,2010,85,1925-10-05,1925-10-05,1925-10-05,2010-06-16,2010-06-16,2010-06-16
Bill Doggett,Rhythm and blues,1916,1996,80,1916-02-16,1916-02-16,1916-02-16,1996-11-13,1996-11-13,1996-11-13
Bill Douglass,Jazz,1923,1994,71,,1923,1923,1994-12-19,1994-12-19,1994-12-19
Bill Evans,Cool jazz,1929,1980,51,1929-08-16,1929-08-16,1929-08-16,1980-09-15,1980-09-15,1980-09-15
Bill Haley,Rockabilly,1925,1981,56,1925-07-06,1925-07-06,1925-07-06,1981-02-09,1981-02-09,1981-02-09
Billie Anthony,Traditional pop,1932,1991,59,1932-10-11,,1932-10-11,1991-01-05,1991-01-05,
Billie Holiday,Blues music,1915,1959,44,1915-04-07,1915-04-07,1915-04-07,1959-07-17,1959-07-17,1959-07-17
Billie Hughes,Folk music,1948,1998,50,1948-04-04,1948-04-04,1948,1998-07-03,1998,1998-07-03
Billie Jo Spears,Country Music,1937,2011,74,1937-01-14,1937-01-14,1937-01-14,2011-12-14,2011-12-14,2011-12-14
Bill Kenny (singer),Pop music,1914,1978,64,1914-06-12,1914-06-12,1914-06-12,1978-03-23,1978-03-23,1978-03-23
Bill Perkins (saxophonist),Cool jazz,1924,2003,79,1924-07-22,1924-07-22,,2003-08-09,,2003-08-09
Bill Pinkney,Rhythm and blues,1925,2007,82,1925-08-15,,1925-08-15,2007-07-04,2007-07-04,
Bill Rank,Jazz,1904,1979,75,1904-06-08,,1904-06-08,1979-05-20,1979-05-20,
Bill Tapia,Hawaiian music,1908,2011,103,1908-01-01,1908-01-01,1908-01-01,2011-12-02,2011-12-02,2011-12-02
Billy Bang,Blues,1947,2011,64,1947-09-20,1947-09-20,1947-09-20,2011-04-11,11,2011-04-11
Billy Bauer,Jazz,1915,2005,90,1915-11-14,1915-11-14,1915-11-14,2005-06-16,2005-06-16,2005-06-16
Billy Bryans,World music,1949,2012,63,1949-09-15,1949-09-15,1949-09-15,2012-04-23,2012-04-23,2012-04-23
Billy Butterfield,Big band music,1917,1988,71,1917-01-14,1917-01-14,1917-01-14,1988-03-18,1988-03-18,1988-03-18
Billy Eckstine,Jazz,1914,1993,79,1914-07-08,1914-07-08,1914-07-08,1993-03-08,1993-03-08,1993-03-08
Billy Fury,Rock music,1940,1983,43,1940-04-17,1940-04-17,17,1983-01-28,28,1983-01-28
Billy Grammer,Country music,1925,2011,86,1925-08-28,1925-08-28,1925-08-28,2011-08-10,2011-08-10,2011-08-10
Billy Hughes (musician),Western swing,1908,1995,87,1908-09-14,1908-09-14,1908-09-14,1995-05-06,1995-05-06,1995-05-06
Billy Jones (musician),Hard rock,1949,1995,46,1949-11-20,1949-11-20,1949-11-20,1995-02-07,1995-02-07,1995-02-07
Billy Kyle,Jazz,1914,1966,52,1914-07-14,,1914-07-14,1966-02-23,1966-02-23,
Billy Lee Riley,Rockabilly,1933,2009,76,1933-10-05,1933-10-05,1933-10-05,2009-08-02,2009-08-02,2009-08-02
Billy Preston,Funk,1946,2006,60,1946-09-02,1946-09-02,1946,2006-06-06,2006,2006-06-06
Billy Stewart,Northern soul,1937,1970,33,1937-03-24,1937-03-24,1937-03-24,1970-01-17,1970-01-17,1970-01-17
Billy Strayhorn,Classical music,1915,1967,52,1915-11-29,1915-11-29,1915-11-29,1967-05-31,1967-05-31,1967-05-31
Billy Taylor,Hard bop,1921,2010,89,1921-07-24,1921-07-24,1921-07-24,2010-12-28,2010-12-28,
Billy Thorpe,Rock n Roll,1946,2007,61,1946-03-29,1946-03-29,29,2007-02-28,28,2007-02-28
Billy Tipton,Jazz,1914,1989,75,1914-12-29,1914-12-29,1914-12-29,1989-01-21,1989-01-21,1989-01-21
Billy Todd,Christian music,1929,2008,79,1929-09-26,,1929-09-26,2008-11-30,2008-11-30,
Billy Wright (musician),Jump blues,1932,1991,59,1932-05-21,1932-05-21,1932-05-21,1991-10-28,1991-10-28,1991-10-28
Bimi Ombale,Gospel,1952,2011,59,1952-07-21,1952-07-21,21,2011-04-29,29,2011-04-29
Bim Sherman,Reggae,1950,2000,50,1950-02-02,,1950-02-02,2000-11-17,2000-11-17,2000-11-17
Bing Crosby,Jazz,1903,1977,74,1903-05-03,1902-05-03,1903-05-03,1977-10-14,1977-10-14,1977-10-14
Bin Uehara,Ryūkōka,1908,1944,36,1908-08-26,1908-08-26,1908,1944-07-29,1944,1944-07-29
Birdman (entertainer),Southern hip hop,1969,2012,43,1969-02-15,1969-02-15,1969-02-15,2012-01-30,2012-01-30,
Birgit Brüel,Pop music,1927,1996,69,1927-10-06,1927-10-06,6,1996-02-23,23,
Bismillah Khan,Hindustani classical music,1916,2006,90,1916-03-21,1916-03-21,1916,2006-08-21,2006,2006-08-21
Bix Beiderbecke,Dixieland,1903,1931,28,1903-03-10,1903-03-10,1903-03-10,1931-08-06,1931-08-06,1931-08-06
Bjarne Liller,Pop music,1935,1993,58,1935-09-25,1935-09-25,1935-09-25,1993-09-06,1993-09-06,1993-09-06
Black Ace,Texas blues,1907,1972,65,1907-12-21,"Hughes Springs, Texas, United States",1907-12-21,1972-11-07,1972-11-07,"Fort Worth, Texas"
Black Allan Barker,Country music,1942,2003,61,,,1942,,2003,
Blake Alphonso Higgs,Calypso music,1915,1986,71,,1915,1915,,1986,1986
Blaž Lenger,Folk music,1919,2006,87,1919-12-06,1919-12-06,1919-12-06,2006-09-26,2006-09-26,2006-09-26
Blind Blake,Ragtime,1896,1934,38,,,1896,1934-12-01,1934-12-01,
Blind Boy Fuller,Country blues,1907,1941,34,1907-07-10,1907-07-10,1907-07-10,1941-02-13,1941-02-13,1941-02-13
Blind John Davis,Blues,1913,1985,72,1913-12-07,1913-12-07,1913-12-07,1985-10-12,1985-10-12,1985-10-12
Blind Lemon Jefferson,Blues,1893,1929,36,1893-09-24,1893-09-24,1893-09-24,1929-12-18,1929-12-18,1929-12-19
Blind Willie Johnson,Gospel,1897,1945,48,1897-01-22,1897-01-22,1897-01-22,1945-09-18,1945,1945-09-18
Blind Willie McTell,Piedmont blues,1901,1959,58,1901-05-05,1898-05-05,1901-05-05,1959-08-19,1959-08-19,1959-08-19
Blue Mitchell,Jazz,1930,1979,49,1930-03-13,1930-03-13,1930-03-13,1979-05-21,1979-05-21,1979-05-21
Bob Atcher,Country music,1914,1993,79,1914-05-11,1914-05-11,1914-05-11,1993-10-31,1993-10-31,1993-10-31
Bob Berg,Hard bop,1951,2002,51,1951-04-07,1951-04-07,1951-04-07,2002-12-05,2002-12-05,2002-12-05
Bobbi Martin,Adult Contemporary (chart),1943,2000,57,1943-11-29,29,1943-11-29,2000-05-02,2000-05-02,2000-05-02
Bob Bogle,Surf rock,1934,2009,75,1934-01-16,1934-01-16,16,2009-06-14,2009-06-14,2009-06-14
Bob Brookmeyer,Post bop,1929,2011,82,1929-12-19,1929-12-19,1929-12-19,2011-12-16,2011-12-16,2011-12-15
Bob Brunning,Blues rock,1943,2011,68,1943-06-29,1943-06-29,29,2011-10-18,18,2011-10-18
Bobby Byrd,Funk,1934,2007,73,1934-08-15,1934-08-15,1934-08-15,2007-09-12,2007-09-12,2007-09-12
Bobby Charles,Swamp rock,1938,2010,72,1938-02-21,1938-02-21,1938-02-21,2010-01-14,2010-01-14,2010-01-14
Bobby Cole (musician),Jazz,1932,1996,64,1932-09-18,1932-09-18,1932-09-18,1996-12-19,1996-12-19,1996-12-19
Bobby Darin,Swing music,1936,1973,37,1936-05-14,1936-05-14,1936-05-14,1973-12-20,1973-12-20,1973-12-20
Bobby Day,Pop music,1928,1990,62,1928-07-01,1928-07-01,1928-07-01,1990-07-27,2007,1990-07-27
Bobby DeBarge,Soul music,1956,1995,39,1956-03-05,1956-03-05,1956-03-05,1995-08-16,1995-08-16,1995-08-16
Bobby Farrell,Pop music,1949,2010,61,1949-10-06,1949-10-06,6,2010-12-30,30,2010-12-30
Bobby Fuller,Rock and roll,1942,1966,24,1942-10-22,1942-10-22,1942-10-22,1966-07-18,1966-07-18,1966-07-18
Bobby Hackett,Swing music,1915,1976,61,1915-01-13,1915-01-13,1915-01-31,1976-06-07,1976-06-07,1976-06-07
Bobby Hatfield,Blue-eyed soul,1940,2003,63,1940-08-10,1940-08-10,1940,2003-11-05,2003,2003-11-05
Bobby Helms,Country music,1933,1997,64,1933-08-15,1933-08-15,1933-08-15,1997-06-19,1997-06-19,1997-06-19
Bobby Poe,Rockabilly,1933,2011,78,1933-04-13,1933-04-13,1933-04-13,2011-01-22,2011-01-22,2011-01-22
Bobby Robinson (record producer),Hip hop music,1917,2011,94,1917-04-16,1917-04-16,1917-04-16,2011-01-07,2011-01-07,2011-01-07
Bobby Rosengarden,Big band music,1924,2007,83,1924-04-23,,1924-04-23,2007-02-27,2007-02-27,
Bobby Russell,Pop music,1940,1992,52,1940-04-19,,1940,1992-11-19,1992,
Bobby Scott (musician),Jazz,1937,1990,53,1937-01-29,1937-01-29,1937-01-29,1990-11-05,1990-11-05,1990-11-05
Bobby Sheehan (musician),Rock music,1968,1999,31,1968-06-12,1968-06-12,1968-06-12,1999-08-20,1999-08-20,1999-08-20
Bobby Short,Vocal jazz,1924,2005,81,1924-09-15,"Danville, Illinois, United States",1924-09-15,2005-03-21,2005-03-21,2005-03-21
Bobby Timmons,Mainstream jazz,1935,1974,39,1935-12-19,1935-12-19,1935-12-19,1974-03-01,1974-03-01,1974-03-01
Bobby Troup,Jazz,1918,1999,81,1918-10-18,1918-10-18,1918-10-18,1999-02-07,1999-02-07,1999-02-07
Bobby Tucker,Swing music,1923,2007,84,1923-01-08,1923-01-08,1923-01-08,2007-04-12,2007-04-12,2007-04-12
Bob Childers,Folk music,1946,2008,62,1946-11-20,1946-11-20,1946-11-20,2008-04-22,2008-04-22,2008-04-22
Bob Dunn (musician),Western swing,1908,1971,63,1908-02-05,1908-02-05,1908-02-05,1971-05-27,1971-05-27,1971-05-27
Bob Flanigan (singer),Jazz,1926,2011,85,1926-08-22,1926-08-22,1926,2011-05-15,2011,2011-05-15
Bob Gaddy,East Coast blues,1924,1997,73,1924-02-04,"Vivian, West Virginia, United States",1924-02-04,1997-07-24,1997-07-24,"The Bronx, New York, United States"
Bob Gibson (musician),Folk music,1931,1996,65,1931-11-16,1931-11-16,1931-11-16,1996-09-28,1996-09-28,1996-09-28
Bob Gordon (saxophonist),Jazz,1928,1955,27,1928-06-11,1928-06-11,1928-06-11,1955-08-28,1955-08-28,1955-08-28
Bob Hames,Jazz,1920,1998,78,,,1920,,1998,
Bob Hite,Blues rock,1943,1981,38,1943-02-26,,1943-02-26,1981-04-05,1981-04-05,
Bob Luman,Country music,1937,1978,41,1937-04-15,1937-04-15,1937,1978-12-27,1978,1978-12-27
Bob Marley,Reggae,1945,1981,36,1945-02-06,1945-02-06,6,1981-05-11,11,1981-05-11
Bob McBride,Rock music,1946,1998,52,1946-11-17,1946-11-17,1946-11-17,1998-02-20,20,
Bob Nolan,Western music,1908,1980,72,1908-04-13,1908-04-13,1908-04-13,1980-06-16,1980-06-16,1980-06-16
Bobo Jenkins,Detroit blues,1916,1984,68,1916-01-07,1916-01-07,1916-01-07,1984-08-14,1984-08-14,1984-08-14
Bob Stinson,Alternative rock,1959,1995,36,1959-12-17,1959-12-17,1959-12-17,,1995-02-18,1995-02-18
Bob Welch (musician),Jazz,1945,2012,67,1945-08-31,1946-07-31,1945-08-31,2012-06-07,2012-06-07,2012-06-07
Bob Weston (guitarist),Rock music,1947,2012,65,1947-11-01,1947-11-01,1,2012-01-03,,2012-01-03
Bo Carter,Country blues,1892,1964,72,1892-06-30,1892-06-30,1892-06-30,1964-09-21,1964-09-21,1964-09-21
Bo Diddley,Chicago blues,1928,2008,80,1928-12-30,1928-12-30,1928-12-30,2008-06-02,2008-06-02,2008-06-02
Bo Hansson,Jazz,1943,2010,67,1943-04-10,1943-04-10,1943-04-10,2010-04-24,2010-04-24,2010-04-23
Bohumir Kryl,Concert band,1875,1961,86,1875-05-02,1875-05-02,1875-05-02,1961-08-07,1961-08-07,1961-08-07
Bojan Pečar,Rock music,1960,1998,38,1960-03-22,1960-03-22,1960-03-22,1998-10-13,1998-10-13,1998-10-13
Bonky,Trance music,1962,2003,41,1962-09-05,1962-09-05,5,2003-01-04,4,2003-01-04
Bonnie Lee,Soul-blues,1931,2006,75,1931-06-11,1931-06-11,1931-06-11,2006-09-07,2006-09-07,2006-09-07
Bon Scott,Rock and roll,1946,1980,34,1946-07-09,1946-07-09,9,1980-02-19,1980,1980-02-19
Boogie Bill Webb,Electric blues,1924,1990,66,1924-03-24,1924-03-24,1924-03-24,1990-08-22,1990-08-22,1990-08-22
Boogie Woogie Red,Boogie-woogie,1925,1992,67,1925-10-18,1925-10-18,1925-10-18,1992-07-02,1992-07-02,1992-07-02
Booker Ervin,Hard bop,1930,1970,40,1930-10-31,1930-10-31,1930-10-31,1970-07-31,1970-07-31,1970-07-31
Booker Little,Hard bop,1938,1961,23,1938-04-02,1938-04-02,1938-04-02,1961-10-05,1961-10-05,1961-10-05
Booker T. Laury,Blues,1914,1995,81,1914-09-02,1914-09-02,1914-09-02,1995-09-23,1995-09-23,1995-09-23
Boozoo Chavis,Zydeco,1930,2001,71,1930-10-23,1930-10-23,23,2001-05-05,5,2001-05-05
Boxcar Willie,Gospel music,1931,1999,68,1931-09-01,1931-09-01,1931-09-01,1999-04-12,1999-04-12,1999-04-12
Boz Burrell,Blues-rock,1946,2006,60,1946-08-01,1946-08-01,1,2006-09-21,2006-09-21,2006-09-21
Brad Delp,Rock music,1951,2007,56,1951-06-12,1951-06-12,1951-06-12,2007-03-09,2007-03-09,2007-03-09
Brad Gowans,Dixieland,1903,1954,51,1903-12-03,1903-12-03,1903-12-03,1954-09-08,1954-09-08,1954-09-08
Bradley Nowell,Hip Hop,1965,1996,31,1965-02-22,1965-02-22,1968-02-22,1996-05-25,1996-05-25,1996-05-25
Brad Robinson (Australian musician),Rock music,1958,1996,38,,1958,1958,1996-10-13,1996,13
Braguinha (composer),Samba,1907,2006,99,1907-03-29,1907-03-29,1907-03-29,2006-12-24,2006-12-24,
Brandi Wells,Soul music,1955,2003,48,1955-05-13,1955-05-13,1955-05-13,2003-03-10,2003-05-23,2003-05-23
Brenda Fassie,Pop music,1964,2004,40,1964-11-03,1964-11-03,1964,2004-05-09,2004,2004-05-09
Brendan B. Brown,Alternative rock,1973,2004,31,1973-10-11,1973-10-11,1973,2004-06-05,,
Brent Liles,Punk rock,1963,2007,44,1963-09-07,1963-09-07,1963-09-07,2007-01-18,2007-01-18,2007-01-18
Brent Mydland,Musical improvisation,1952,1990,38,1952-10-21,1952-10-21,1952-10-21,1990-07-26,1990-07-26,1990-07-26
Brian Connolly,Hard rock,1945,1997,52,1945-10-05,1945-10-05,,1997-02-09,,1997-02-09
Brian Davison (drummer),Progressive rock,1942,2008,66,1942-05-25,1942-05-25,1942-05-25,2008-04-15,15,2008-04-15
Brian Fahey (composer),Jazz,1919,2007,88,1919-04-25,1919-04-25,25,2007-04-04,4,2007-04-04
Brian Jones,Psychedelic rock,1942,1969,27,1942-02-28,1942-02-28,28,1969-07-03,3,1969-07-03
Brian May (composer),Film score,1934,1997,63,1934-07-28,1934-07-28,1934-07-28,1997-04-25,25,1997-04-25
Brian McKnight,Quiet storm,1969,2012,43,1969-06-05,1969-06-05,1969-06-05,2012-12-23,2012-12-23,
Bridie Gallagher,Irish people,1924,2012,88,1924-12-07,1924-12-07,1924,2012-01-09,2012,2012-01-09
Brownie McGhee,Piedmont blues,1915,1996,81,1915-11-30,1915-11-30,1915-11-30,1996-02-16,1996-02-16,1996-02-16
Bruce Gary,Rock music,1951,2006,55,1951-04-07,1951-04-07,7,2006-08-22,22,2006-08-22
Bruce Haack,Psychedelic rock,1931,1988,57,1931-05-04,1931-05-04,1931-05-04,1988-09-26,1988-09-26,1988-09-26
Bruce Palmer,Folk rock,1946,2004,58,1946-09-09,1946-09-09,1946-09-09,2004-10-01,2004-10-01,2004-10-01
Bruce Waibel,Rock music,1958,2003,45,1958-07-09,1958-07-09,1958-07-09,2003-09-02,2003-09-02,2003-09-02
Brun Campbell,Folk ragtime,1884,1952,68,1884-03-26,,26,1952-11-23,1952-11-23,
Bruno Martino,Jazz,1925,2000,75,1925-11-11,1925-11-11,1925-11-11,2000-06-28,2000-06-28,2000-06-28
Bryan MacLean,Proto-punk,1946,1998,52,1946-09-25,1946-09-25,1946-09-25,1998-12-25,1998-12-25,1998-12-25
Buck Clayton,Mainstream jazz,1911,1991,80,1911-11-12,1911-11-12,1911-11-12,1991-12-08,1991-12-08,1991-12-08
Buck Owens,Bakersfield sound,1929,2006,77,1929-08-12,1929-08-12,1929-08-12,2006-03-25,2006-03-25,2006-03-25
Buddie Petit,Jazz,1890,1931,41,,,1890,1931-07-04,4,
Buddy Bolden,Blues,1877,1931,54,1877-09-06,1877-09-06,,1931-11-04,,1931-11-04
Buddy Charleton,Country music,1938,2011,73,1938-03-06,1938-03-06,,2011-01-25,,2011-01-25
Buddy Clark,Traditional pop music,1911,1949,38,1911-07-26,,1912-07-26,1949-10-01,1949-10-01,
Buddy Collette,West Coast jazz,1921,2010,89,1921-08-06,1921-08-06,1921-08-06,2010-09-19,2010,2010-09-19
Buddy Holly,Rockabilly,1936,1959,23,1936-09-07,1936-09-07,1936-09-07,1959-02-03,1959-02-03,1959-02-03
Buddy Knox,Rockabilly,1933,1999,66,1933-07-20,1933-07-20,1933-07-20,1999-02-14,1999-02-14,1999-02-14
Buddy McNeil,Rockabilly,1931,2008,77,1931-04-27,1988-11-09,February 1989,2008-10-11,2008,2008-10-11
Buddy Miles,Funk music,1947,2008,61,1947-09-05,United States,1947-09-05,2008-02-27,2008-02-27,2008-02-27
Buddy Montgomery,Jazz,1930,2009,79,1930-01-30,1930-01-30,1930-01-30,2009-05-14,2009-05-14,2009-05-14
Buddy Morrow,Swing music,1919,2010,91,1919-02-08,1919-02-08,1919-02-08,2010-09-27,2010-09-27,2010-09-27
